condition,k,fold_index,pr_auc
informed,8,11,0.9058357849335295
informed,8,12,0.8981882257446296
informed,8,13,0.9097219915634238
informed,8,14,0.8715111352208127
informed,8,15,0.8885002823973411
informed,8,16,0.7991072708355254
informed,8,17,0.9519452367278456
informed,8,18,0.8284373713432012
informed,8,19,0.9450991935235633
informed,8,20,0.9385023120818574
informed,8,21,0.7801607828460531
informed,8,22,0.9066034898751683
informed,8,23,0.8669631311827173
informed,8,24,0.9288062759148563
informed,8,25,0.9258130408110063
informed,8,26,0.9068305203459266
informed,8,27,0.8621531387141064
informed,8,28,0.9291850159487687
informed,8,29,0.9001570412564939
informed,8,30,0.9200648130190798
informed,8,31,0.9261458082799128
informed,8,32,0.8519890688496987
informed,8,33,0.9539252248651227
informed,8,34,0.8643043034086821
informed,8,35,0.9127468120115179
informed,8,36,0.8793555849260974
informed,8,37,0.88750595424597
informed,8,38,0.8946639172749333
informed,8,39,0.9007938645120042
informed,8,40,0.9648825337732598
informed,8,41,0.9912106871734203
informed,8,42,0.8968430526424778
informed,8,43,0.804565623418382
informed,8,44,0.8309827045476368
informed,8,45,0.9304011294900041
informed,8,46,0.8656557214551468
informed,8,47,0.9015777670410579
informed,8,48,0.9552741175183632
informed,8,49,0.8899025912722847
informed,11,0,0.8775828550000306
informed,11,1,0.8980211492725196
informed,11,2,0.9240646530562497
informed,11,3,0.8649702888900506
informed,11,4,0.8456481156816915
informed,11,5,0.7820276699450299
informed,11,6,0.8364119344910359
informed,11,7,0.9185615869026009
informed,11,8,0.8658737461876904
informed,11,9,0.8155795138568249
informed,11,10,0.9115943116585179
informed,11,11,0.8596264611817608
informed,11,12,0.870096626885386
informed,11,13,0.8953887063351904
informed,11,14,0.8484301877793547
informed,11,15,0.8991461242055252
informed,11,16,0.7736994355850308
informed,11,17,0.9294934464374016
informed,11,18,0.7680381250023387
informed,11,19,0.9651073706994762
informed,11,20,0.8939342089070348
informed,11,21,0.7670343022075932
informed,11,22,0.8367216032304041
informed,11,23,0.9218511180465105
informed,11,24,0.9173767328780824
informed,11,25,0.895467027939854
informed,11,26,0.8710617312806612
informed,11,27,0.8837408174070049
informed,11,28,0.8921891332336167
informed,11,29,0.902834278492542
informed,11,30,0.9053756898468555
